AggKey,YTD Sales Amount,LY YTD Sales Amount,TM Sales Amount,LY TM Sales Amount,LY Tot Sales Amount,YTD Sales Margin Amount,LY YTD Sales Margin Amount,TM Sales Margin Amount,LY TM Sales Margin Amount,LY Tot Sales Margin Amount,Current Open Amount,Current BackOrder Amount,Current Backlog Amount
108-10025919-28401,$0,"$49,711",$0,"$8,461","$244,682",$0,"$23,881",$0,"$4,120","$115,112",6346.03,4230.69,0
108-10025919-27550,$0,"$27,301",$0,$594,"$204,140",$0,"$13,478",$0,$298,"$97,570",7715.48,4154.49,0
173-10009985-20910,$0,"$5,859",$0,$0,"$16,294",$0,"$2,242",$0,$0,"$6,006",0,0,0
173-10009985-27550,$0,"$27,438",$0,"$4,498","$68,821",$0,"$12,512",$0,"$2,136","$31,278",0,0,0
134-10023524-25987,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
134-10023524-1z9483440345174124,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
134-10023524-33446,$0,"$1,078",$0,$0,"$1,617",$0,$343,$0,$0,$514,0,0,0
134-10023524-63664,$0,$572,$0,$0,$859,$0,$90,$0,$0,$135,0,0,0
113-10024248-39346,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
117-10013238-63851,$0,$195,$0,$0,$524,$0,($45),$0,$0,($143),0,0,0
125-10025560-UPS,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
125-10025560-38060,$0,$614,$0,$205,$819,$0,$358,$0,$119,$477,0,0,0
125-10025560-38845,$0,$838,$0,$0,"$1,256",$0,$400,$0,$0,$600,0,0,0
108-10025919-62949,$0,"$8,541",$0,($178),"$24,282",$0,$501,$0,($178),"$1,700",0,0,0
182-10004302-40634,$0,$0,$0,$0,$0,$0,($590),$0,$0,($885),0,0,0
182-10004302-1z9483440344949272,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
113-10024248-39190,$0,$819,$0,$0,"$1,433",$0,$204,$0,$0,$357,0,0,0
103-10002506-1z9483440345599550,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
117-10013238-63206,$0,$798,$0,$0,"$1,330",$0,$280,$0,$0,$467,0,0,0
134-10023023-50132442121,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
134-10023023-62653,$0,"$866,060",$0,$0,"$1,756,103",$0,"$424,189",$0,$0,"$859,252",1532260,1532260,0
113-10011398-63664,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
107-10022444-13047,$0,$0,$0,$0,$0,$0,($97),$0,($41),($124),0,0,0
107-10022444-29312,$0,$0,$0,$0,$0,$0,($159),$0,$0,($238),0,0,0
107-10022444-1Z9483440344759736,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
107-10022444-11078,$0,$0,$0,$0,$0,$0,($20),$0,$0,($29),0,0,0
108-10025919-29396,$0,$321,$0,$0,$763,$0,$155,$0,$0,$365,0,0,0
114-10020184-31400,$0,"$940,387",$0,$0,"$2,576,114",$0,"$254,945",$0,$0,"$711,270",298394.07,298394.07,0
175-10007121-40642,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
103-10002506-40644,$0,$0,$0,$0,$0,$0,($149),$0,$0,($297),0,0,0
103-10002506-67550,$0,"$9,071",$0,$0,"$23,723",$0,"$4,568",$0,$0,"$11,898",0,0,0
180-10012715-220612,$0,$375,$0,$0,"$1,125",$0,$177,$0,$0,$532,0,0,0
155-10018665-50132441743,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
155-10018665-37132,$0,$730,$0,$365,"$2,548",$0,$144,$0,$74,$620,0,0,0
150-10021185-60900,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
108-10025919-38809,$0,"$6,752",$0,$211,"$20,312",$0,"$2,434",$0,$73,"$7,150",105.51,105.51,0
108-10025919-1Z9483440345418790,$0,$0,$0,$0,$6,$0,$0,$0,$0,$6,0,0,0
151-10024246-40634,$0,$0,$0,$0,$0,$0,($590),$0,$0,($885),0,0,0
117-10021977-37162,$0,$73,$0,$0,$146,$0,$5,$0,$0,$10,73.1,73.1,0
115-10008134-45880,$0,"$1,680",$0,$0,"$3,361",$0,$528,$0,$0,"$1,070",0,0,0
117-10021977-63663,$0,$765,$0,$0,"$1,530",$0,$325,$0,$0,$649,0,0,0
117-10021977-                         ,$0,$54,$0,$54,$537,$0,$54,$0,$54,$537,0,0,0
117-10021977-1Z9483440344950751,$0,$0,$0,$0,$26,$0,$0,$0,$0,$26,0,0,0
113-10025049-25870,$0,$0,$0,$0,$250,$0,$0,$0,$0,$250,0,0,0
113-10024248-37131,$0,$79,$0,$0,$158,$0,$42,$0,$0,$83,39.49,0,0
134-10023524-63066,$0,$702,$0,$0,"$1,405",$0,$348,$0,$0,$639,0,0,0
104-10014469-28750CL,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,44.49,44.49,0
132-10002765-1z9483440345426914,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
117-10013238-1z9483440345948815,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
117-10013238-60900,$0,"$27,183",$0,$0,"$48,076",$0,"$13,078",$0,$0,"$23,116",0,0,0
131-10025051-15236,$0,$105,$0,$0,$627,$0,$82,$0,$0,$493,0,0,0
144-10019900-26502,"$29,865",$0,$0,$0,$0,"$13,482",$0,$0,$0,$0,0,0,0
141-10021485-31694,$0,$0,$0,$0,$0,$0,($213),$0,$0,($319),0,0,0
118-10000455-20990,$0,"$1,333",$0,$121,"$1,939",$0,$688,$0,$63,"$1,000",0,0,0
118-10000455-11690,$0,"$1,385",$0,$231,"$2,308",$0,$985,$0,$165,"$1,641",0,0,0
130-10026336-1Z9483440344307367,$0,$0,$0,$0,$6,$0,$0,$0,$0,$6,0,0,0
115-10017638-1z9483440346752613,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
115-10017638-1z9483440346880403,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
136-10019664-61539,$0,$984,$0,$25,"$1,464",$0,$547,$0,$14,$813,0,0,0
125-10015495-7548,$0,$88,$0,$0,$132,$0,$42,$0,$0,$64,0,0,0
125-10015495-7613,$0,$1,$0,$0,$1,$0,$1,$0,$0,$1,0,0,0
125-10015495-7594,$0,$257,$0,$0,$385,$0,$154,$0,$0,$231,0,0,0
125-10015495-1z9483440344724620,$0,$0,$0,$0,$13,$0,$0,$0,$0,$13,0,0,0
125-10015495-7550,$0,$112,$0,$0,$168,$0,$52,$0,$0,$78,0,0,0
112-10025251-1z9483441246076846,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
112-10025251-28433,$0,$37,$0,$0,$56,$0,$17,$0,$0,$25,0,0,0
180-10023715-1Z9483440345273384,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,0,0
108-10025919-33547,$0,$411,$0,$0,$616,$0,$140,$0,$0,$211,0,0,0
108-10025919-1Z9483440346606352,$0,$0,$0,$0,$16,$0,$0,$0,$0,$16,0,0,0
108-10025919-1z9483440344050189,$0,$0,$0,$0,$7,$0,$0,$0,$0,$7,0,0,0
108-10025919-1z9483440345107992,$0,$0,$0,$0,$5,$0,$0,$0,$0,$5,0,0,0
108-10025919-29312,$0,$822,$0,$314,"$4,917",$0,$373,$0,$143,"$2,101",0,0,0
184-10000481-31676,$0,$598,$0,$149,"$1,195",$0,$445,$0,$112,$890,0,0,0
105-10016549-39529,$0,$262,$0,$0,$393,$0,$83,$0,$0,$125,0,0,0
105-10016549-38809,$0,$215,$0,$0,$323,$0,$76,$0,$0,$114,0,0,0
108-10025919-62948,$0,"$2,491",$0,$178,"$7,420",$0,$337,$0,$28,$970,0,0,0
108-10025919-1z9483440345650949,$0,$0,$0,$0,$18,$0,$0,$0,$0,$18,0,0,0
108-10025919-1z9483440346381210,$0,$0,$0,$0,$4,$0,$0,$0,$0,$4,0,0,0
