BasketItem,Basket Produce Line,Basket Product Group Desc,Basket Product Line Desc,Basket Product Sub Group Desc,Basket Product Type Desc,Basket Item Desc
CR-10731,1,Frozen Foods,Food,Ice Cream,Frozen Desserts,Imagine Popsicles
CR-10731,1,Frozen Foods,Drink,Ice Cream,Frozen Desserts,Imagine Popsicles
CR-10799,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony Prepared Salad
CR-10799,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony Prepared Salad
CR-10029,1,Canned Foods,Food,Soup,Canned Soup,Blue Label Chicken Ramen Soup
CR-10029,1,Canned Foods,Drink,Soup,Canned Soup,Blue Label Chicken Ramen Soup
CR-10690,1,Deli,Food,Hot Dogs,Meat,Cutting Edge Foot-Long Hot Dogs
CR-10690,1,Deli,Drink,Hot Dogs,Meat,Cutting Edge Foot-Long Hot Dogs
CR-10084,1,Frozen Foods,Food,Frozen Chicken,Meat,Golden Frozen Chicken Breast
CR-10084,1,Frozen Foods,Drink,Frozen Chicken,Meat,Golden Frozen Chicken Breast
CR-10397,1,Frozen Foods,Food,French Fries,Vegetables,Big Time Low Fat French Fries
CR-10397,1,Frozen Foods,Drink,French Fries,Vegetables,Big Time Low Fat French Fries
CR-10400,1,Frozen Foods,Food,French Fries,Vegetables,Big Time Fajita French Fries
CR-10400,1,Frozen Foods,Drink,French Fries,Vegetables,Big Time Fajita French Fries
CR-10797,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony New Potatos
CR-10797,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony New Potatos
CR-10035,1,Canned Foods,Food,Oysters,Canned Oysters,Blue Label Fancy Canned Oysters
CR-10035,1,Canned Foods,Drink,Oysters,Canned Oysters,Blue Label Fancy Canned Oysters
CR-10345,1,Canned Foods,Food,Clams,Canned Clams,Better Fancy Canned Clams
CR-10345,1,Canned Foods,Drink,Clams,Canned Clams,Better Fancy Canned Clams
CR-10887,1,Starchy Foods,Food,Rice,Starchy Foods,Monarch Rice Medly
CR-10887,1,Starchy Foods,Drink,Rice,Starchy Foods,Monarch Rice Medly
CR-10369,2,Dairy,Food,Milk,Dairy,Carlson Chocolate Milk
CR-10369,2,Dairy,Drink,Milk,Dairy,Carlson Chocolate Milk
CR-10484,1,Produce,Food,Fresh Vegetables,Vegetables,Tell Tale Asparagus
CR-10484,1,Produce,Drink,Fresh Vegetables,Vegetables,Tell Tale Asparagus
CR-10867,1,Snack Foods,Food,Dried Fruit,Snack Foods,Nationeel Strawberry Fruit Roll
CR-10867,1,Snack Foods,Drink,Dried Fruit,Snack Foods,Nationeel Strawberry Fruit Roll
CR-10638,1,Canned Foods,Food,Canned Vegetables,Vegetables,Bravo Canned Beets
CR-10638,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Bravo Canned Beets
CR-10942,2,Beverages,Food,Soda,Carbonated Beverages,Fabulous Cream Soda
CR-10942,2,Beverages,Drink,Soda,Carbonated Beverages,Fabulous Cream Soda
CR-10973,1,Canned Foods,Food,Oysters,Canned Oysters,Just Right Fancy Canned Oysters
CR-10973,1,Canned Foods,Drink,Oysters,Canned Oysters,Just Right Fancy Canned Oysters
CR-10621,1,Baking Goods,Food,Preserves,Jams and Jellies,Landslide Apple Preserves
CR-10621,1,Baking Goods,Drink,Preserves,Jams and Jellies,Landslide Apple Preserves
CR-10623,2,Beverages,Food,Juice,Pure Juice Beverages,Token Berry Juice
CR-10623,2,Beverages,Drink,Juice,Pure Juice Beverages,Token Berry Juice
CR-10077,1,Eggs,Food,Eggs,Eggs,Blue Medal Small Brown Eggs
CR-10077,1,Eggs,Drink,Eggs,Eggs,Blue Medal Small Brown Eggs
CR-10637,1,Breakfast Foods,Food,Cereal,Breakfast Foods,Radius Grits
CR-10637,1,Breakfast Foods,Drink,Cereal,Breakfast Foods,Radius Grits
CR-10584,2,Alcoholic Beverages,Food,Beer,Beer and Wine,Walrus Light Beer
CR-10584,2,Alcoholic Beverages,Drink,Beer,Beer and Wine,Walrus Light Beer
CR-10385,1,Deli,Food,Deli Meats,Meat,Moms Sliced Ham
CR-10385,1,Deli,Drink,Deli Meats,Meat,Moms Sliced Ham
CR-10935,1,Baking Goods,Food,Preserves,Jams and Jellies,BBB Best Strawberry Preserves
CR-10935,1,Baking Goods,Drink,Preserves,Jams and Jellies,BBB Best Strawberry Preserves
CR-10529,1,Snack Foods,Food,Chips,Snack Foods,Fast BBQ Potato Chips
CR-10529,1,Snack Foods,Drink,Chips,Snack Foods,Fast BBQ Potato Chips
CR-10893,2,Alcoholic Beverages,Food,Beer,Beer and Wine,Pearl Imported Beer
CR-10893,2,Alcoholic Beverages,Drink,Beer,Beer and Wine,Pearl Imported Beer
CR-10898,2,Alcoholic Beverages,Food,Wine,Beer and Wine,Pearl Chardonnay
CR-10898,2,Alcoholic Beverages,Drink,Wine,Beer and Wine,Pearl Chardonnay
CR-10880,1,Snacks,Food,Hard Candy,Candy,Thresher Spicy Mints
CR-10880,1,Snacks,Drink,Hard Candy,Candy,Thresher Spicy Mints
CR-10927,1,Baking Goods,Food,Spices,Baking Goods,BBB Best Salt
CR-10927,1,Baking Goods,Drink,Spices,Baking Goods,BBB Best Salt
CR-10680,2,Dairy,Food,Milk,Dairy,Gorilla Chocolate Milk
CR-10680,2,Dairy,Drink,Milk,Dairy,Gorilla Chocolate Milk
CR-10066,1,Deli,Food,Bologna,Meat,Red Spade Low Fat Bologna
CR-10066,1,Deli,Drink,Bologna,Meat,Red Spade Low Fat Bologna
CR-10392,1,Eggs,Food,Eggs,Eggs,Urban Egg Substitute
CR-10392,1,Eggs,Drink,Eggs,Eggs,Urban Egg Substitute
CR-10394,1,Frozen Foods,Food,Popsicles,Frozen Desserts,Big Time Orange Popsicles
CR-10394,1,Frozen Foods,Drink,Popsicles,Frozen Desserts,Big Time Orange Popsicles
CR-10065,1,Deli,Food,Bologna,Meat,Red Spade Beef Bologna
CR-10065,1,Deli,Drink,Bologna,Meat,Red Spade Beef Bologna
CR-10414,1,Frozen Foods,Food,Ice Cream,Frozen Desserts,Big Time Ice Cream
CR-10414,1,Frozen Foods,Drink,Ice Cream,Frozen Desserts,Big Time Ice Cream
CR-10642,1,Canned Foods,Food,Canned Vegetables,Vegetables,Bravo Canned Yams
CR-10642,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Bravo Canned Yams
CR-10412,1,Frozen Foods,Food,French Fries,Vegetables,Big Time Home Style French Fries
CR-10412,1,Frozen Foods,Drink,French Fries,Vegetables,Big Time Home Style French Fries
CR-10925,1,Baking Goods,Food,Spices,Baking Goods,BBB Best Pepper
CR-10925,1,Baking Goods,Drink,Spices,Baking Goods,BBB Best Pepper
CR-10068,1,Deli,Food,Hot Dogs,Meat,Red Spade Foot-Long Hot Dogs
CR-10068,1,Deli,Drink,Hot Dogs,Meat,Red Spade Foot-Long Hot Dogs
CR-10010,2,Beverages,Food,Juice,Pure Juice Beverages,Washington Apple Juice
CR-10010,2,Beverages,Drink,Juice,Pure Juice Beverages,Washington Apple Juice
CR-10872,1,Snack Foods,Food,Dried Fruit,Snack Foods,Nationeel Golden Raisins
CR-10872,1,Snack Foods,Drink,Dried Fruit,Snack Foods,Nationeel Golden Raisins
CR-10870,1,Snack Foods,Food,Dried Fruit,Snack Foods,Nationeel Dried Dates
CR-10870,1,Snack Foods,Drink,Dried Fruit,Snack Foods,Nationeel Dried Dates
CR-10347,1,Canned Foods,Food,Sardines,Canned Sardines,Better Fancy Canned Sardines
CR-10347,1,Canned Foods,Drink,Sardines,Canned Sardines,Better Fancy Canned Sardines
CR-10101,1,Frozen Foods,Food,French Fries,Vegetables,Golden Home Style French Fries
CR-10101,1,Frozen Foods,Drink,French Fries,Vegetables,Golden Home Style French Fries
CR-10684,1,Dairy,Food,Yogurt,Dairy,Gorilla Blueberry Yogurt
CR-10684,1,Dairy,Drink,Yogurt,Dairy,Gorilla Blueberry Yogurt
CR-10814,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony Squash
CR-10814,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony Squash
CR-10936,1,Baking Goods,Food,Peanut Butter,Jams and Jellies,BBB Best Extra Chunky Peanut Butter
CR-10936,1,Baking Goods,Drink,Peanut Butter,Jams and Jellies,BBB Best Extra Chunky Peanut Butter
CR-10048,1,Dairy,Food,Cheese,Dairy,Club String Cheese
CR-10048,1,Dairy,Drink,Cheese,Dairy,Club String Cheese
CR-10050,1,Dairy,Food,Cheese,Dairy,Club Havarti Cheese
CR-10050,1,Dairy,Drink,Cheese,Dairy,Club Havarti Cheese
CR-10093,1,Frozen Foods,Food,Pizza,Pizza,Golden Frozen Mushroom Pizza
CR-10093,1,Frozen Foods,Drink,Pizza,Pizza,Golden Frozen Mushroom Pizza
CR-11241,1,Deli,Food,Fresh Chicken,Meat,American Roasted Chicken
CR-11241,1,Deli,Drink,Fresh Chicken,Meat,American Roasted Chicken
CR-10644,1,Canned Foods,Food,Canned Vegetables,Vegetables,Bravo Canned Tomatos
CR-10644,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Bravo Canned Tomatos
CR-10282,1,Baked Goods,Food,Sliced Bread,Bread,Great Wheat Bread
CR-10282,1,Baked Goods,Drink,Sliced Bread,Bread,Great Wheat Bread
CR-10701,1,Eggs,Food,Eggs,Eggs,Jumbo Small Eggs
CR-10701,1,Eggs,Drink,Eggs,Eggs,Jumbo Small Eggs
CR-10362,1,Dairy,Food,Cheese,Dairy,Carlson Head Cheese
CR-10362,1,Dairy,Drink,Cheese,Dairy,Carlson Head Cheese
CR-10281,1,Baked Goods,Food,Muffins,Bread,Great Blueberry Muffins
CR-10281,1,Baked Goods,Drink,Muffins,Bread,Great Blueberry Muffins
CR-10672,1,Dairy,Food,Cheese,Dairy,Gorilla Havarti Cheese
CR-10672,1,Dairy,Drink,Cheese,Dairy,Gorilla Havarti Cheese
CR-10953,1,Breakfast Foods,Food,Cereal,Breakfast Foods,Special Grits
CR-10953,1,Breakfast Foods,Drink,Cereal,Breakfast Foods,Special Grits
CR-10360,1,Dairy,Food,Cheese,Dairy,Carlson Low Fat String Cheese
CR-10360,1,Dairy,Drink,Cheese,Dairy,Carlson Low Fat String Cheese
CR-10059,2,Dairy,Food,Milk,Dairy,Club 1% Milk
CR-10059,2,Dairy,Drink,Milk,Dairy,Club 1% Milk
CR-10965,1,Canned Foods,Food,Soup,Canned Soup,Just Right Beef Soup
CR-10965,1,Canned Foods,Drink,Soup,Canned Soup,Just Right Beef Soup
CR-10332,1,Canned Foods,Food,Soup,Canned Soup,Better Vegetable Soup
CR-10332,1,Canned Foods,Drink,Soup,Canned Soup,Better Vegetable Soup
CR-10241,1,Snack Foods,Food,Crackers,Snack Foods,Best Choice Sesame Crackers
CR-10241,1,Snack Foods,Drink,Crackers,Snack Foods,Best Choice Sesame Crackers
CR-10026,1,Canned Foods,Food,Soup,Canned Soup,Blue Label Turkey Noodle Soup
CR-10026,1,Canned Foods,Drink,Soup,Canned Soup,Blue Label Turkey Noodle Soup
CR-10825,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony Broccoli
CR-10825,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony Broccoli
CR-10613,1,Baking Goods,Food,Spices,Baking Goods,Landslide Oregano
CR-10613,1,Baking Goods,Drink,Spices,Baking Goods,Landslide Oregano
CR-10946,2,Beverages,Food,Juice,Pure Juice Beverages,Fabulous Orange Juice
CR-10946,2,Beverages,Drink,Juice,Pure Juice Beverages,Fabulous Orange Juice
CR-10514,1,Produce,Food,Fresh Vegetables,Vegetables,Tell Tale Broccoli
CR-10514,1,Produce,Drink,Fresh Vegetables,Vegetables,Tell Tale Broccoli
CR-10821,1,Produce,Food,Fresh Fruit,Fruit,Ebony Lemons
CR-10821,1,Produce,Drink,Fresh Fruit,Fruit,Ebony Lemons
CR-10665,1,Dairy,Food,Cottage Cheese,Dairy,Gorilla Low Fat Cottage Cheese
CR-10665,1,Dairy,Drink,Cottage Cheese,Dairy,Gorilla Low Fat Cottage Cheese
CR-10654,1,Canned Foods,Food,Shrimp,Canned Shrimp,Bravo Large Canned Shrimp
CR-10654,1,Canned Foods,Drink,Shrimp,Canned Shrimp,Bravo Large Canned Shrimp
CR-10383,1,Deli,Food,Deli Meats,Meat,Moms Corned Beef
CR-10383,1,Deli,Drink,Deli Meats,Meat,Moms Corned Beef
CR-10291,1,Baking Goods,Food,Cooking Oil,Baking Goods,Super Vegetable Oil
CR-10291,1,Baking Goods,Drink,Cooking Oil,Baking Goods,Super Vegetable Oil
CR-10004,2,Beverages,Food,Soda,Carbonated Beverages,Washington Cream Soda
CR-10004,2,Beverages,Drink,Soda,Carbonated Beverages,Washington Cream Soda
CR-10395,1,Frozen Foods,Food,Frozen Chicken,Meat,Big Time Frozen Chicken Breast
CR-10395,1,Frozen Foods,Drink,Frozen Chicken,Meat,Big Time Frozen Chicken Breast
CR-10716,1,Frozen Foods,Food,Waffles,Breakfast Foods,Imagine Apple Cinnamon Waffles
CR-10716,1,Frozen Foods,Drink,Waffles,Breakfast Foods,Imagine Apple Cinnamon Waffles
CR-10992,1,Dairy,Food,Cheese,Dairy,Even Better Mild Cheddar Cheese
CR-10992,1,Dairy,Drink,Cheese,Dairy,Even Better Mild Cheddar Cheese
CR-10046,1,Dairy,Food,Cheese,Dairy,Club Jack Cheese
CR-10046,1,Dairy,Drink,Cheese,Dairy,Club Jack Cheese
CR-10970,1,Canned Foods,Food,Shrimp,Canned Shrimp,Just Right Large Canned Shrimp
CR-10970,1,Canned Foods,Drink,Shrimp,Canned Shrimp,Just Right Large Canned Shrimp
CR-10384,1,Deli,Food,Deli Meats,Meat,Moms Sliced Turkey
