DummyField,BudgetInput2,BudgetYear,BudgetPeriod,Type,Budget Amount,Actual Amount,BudKey,BudgetInput
1,1,2022,1,Budget,-2927.53,0,10025305,-2927.53
1,2,2022,1,Budget,-1464.95,0,10025269,-1464.95
1,3,2022,1,Budget,-1126.74,0,10000455,-1126.74
1,4,2022,1,Budget,-971.65,0,10015783,-971.65
1,6,2022,1,Budget,-276.54,0,10017072,-276.54
1,7,2022,1,Budget,-30.94,0,10014495,-30.94
1,9,2022,1,Budget,22.48,0,10020445,22.48
1,11,2022,1,Budget,26.57,0,10017036,26.57
1,12,2022,1,Budget,27.96,0,10012234,27.96
1,13,2022,1,Budget,33.78,0,10026532,33.78
1,14,2022,1,Budget,35.91,0,10023275,35.91
1,15,2022,1,Budget,42.1,0,10025061,42.1
1,16,2022,1,Budget,44.78,0,10021185,44.78
1,17,2022,1,Budget,53,0,10003720,53
1,18,2022,1,Budget,58.99,0,10000462,58.99
1,19,2022,1,Budget,71.38,0,10016045,71.38
1,20,2022,1,Budget,73.02,0,10019900,73.02
1,21,2022,1,Budget,76.17,0,10008593,76.17
1,22,2022,1,Budget,79.79,0,10010698,79.79
1,23,2022,1,Budget,94.58,0,10023471,94.58
1,24,2022,1,Budget,95.4,0,10024524,95.4
1,26,2022,1,Budget,121.86,0,10023516,121.86
1,28,2022,1,Budget,152.59,0,10027381,152.59
1,29,2022,1,Budget,152.88,0,10025549,152.88
1,30,2022,1,Budget,167.62,0,10011981,167.62
1,31,2022,1,Budget,178.84,0,10006093,178.84
1,33,2022,1,Budget,184.43,0,10016047,184.43
1,34,2022,1,Budget,185.04,0,10023235,185.04
1,35,2022,1,Budget,188.78,0,10026062,188.78
1,37,2022,1,Budget,207.24,0,10025289,207.24
1,38,2022,1,Budget,212.71,0,10026581,212.71
1,39,2022,1,Budget,222.23,0,10025034,222.23
1,40,2022,1,Budget,234.03,0,10025284,234.03
1,42,2022,1,Budget,252.29,0,10023489,252.29
1,43,2022,1,Budget,280.51,0,10010897,280.51
1,44,2022,1,Budget,295.24,0,10009647,295.24
1,45,2022,1,Budget,312.58,0,10019678,312.58
1,46,2022,1,Budget,338.06,0,10027340,338.06
1,47,2022,1,Budget,342.91,0,10026522,342.91
1,48,2022,1,Budget,350,0,10011521,350
1,49,2022,1,Budget,360.85,0,10025287,360.85
1,51,2022,1,Budget,378.86,0,10016564,378.86
1,52,2022,1,Budget,384.47,0,10007120,384.47
1,53,2022,1,Budget,394.44,0,10022431,394.44
1,54,2022,1,Budget,464.99,0,10020639,464.99
1,55,2022,1,Budget,503,0,10019665,503
1,57,2022,1,Budget,531.74,0,10024009,531.74
1,58,2022,1,Budget,548.74,0,10025038,548.74
1,59,2022,1,Budget,548.97,0,10024262,548.97
1,62,2022,1,Budget,569.74,0,10024010,569.74
1,63,2022,1,Budget,576.8,0,10018867,576.8
1,64,2022,1,Budget,588.67,0,10003795,588.67
1,65,2022,1,Budget,601.39,0,10025248,601.39
1,66,2022,1,Budget,615.58,0,10018580,615.58
1,68,2022,1,Budget,658.04,0,10019664,658.04
1,69,2022,1,Budget,663.84,0,10019897,663.84
1,70,2022,1,Budget,665.94,0,10007123,665.94
1,71,2022,1,Budget,669.57,0,10011398,669.57
1,72,2022,1,Budget,679.55,0,10025583,679.55
1,74,2022,1,Budget,731.89,0,10023513,731.89
1,75,2022,1,Budget,735.06,0,10020931,735.06
1,76,2022,1,Budget,742.91,0,10025021,742.91
1,79,2022,1,Budget,782.45,0,10013509,782.45
1,80,2022,1,Budget,782.58,0,10025571,782.58
1,82,2022,1,Budget,846.41,0,10000481,846.41
1,83,2022,1,Budget,885.15,0,10000475,885.15
1,84,2022,1,Budget,896.03,0,10022423,896.03
1,85,2022,1,Budget,898,0,10014804,898
1,86,2022,1,Budget,898.32,0,10010914,898.32
1,87,2022,1,Budget,903.57,0,10026078,903.57
1,88,2022,1,Budget,921.97,0,10014047,921.97
1,89,2022,1,Budget,944.54,0,10021996,944.54
1,90,2022,1,Budget,1008.63,0,10000466,1008.63
1,91,2022,1,Budget,1010.13,0,10019388,1010.13
1,92,2022,1,Budget,1013.06,0,10020663,1013.06
1,93,2022,1,Budget,1016.09,0,10022732,1016.09
1,95,2022,1,Budget,1063.75,0,10021175,1063.75
1,96,2022,1,Budget,1122.3,0,10025778,1122.3
1,97,2022,1,Budget,1132.4,0,10013188,1132.4
1,98,2022,1,Budget,1139.61,0,10004256,1139.61
1,99,2022,1,Budget,1149.45,0,10015275,1149.45
1,100,2022,1,Budget,1167.38,0,10023783,1167.38
1,103,2022,1,Budget,1311.31,0,10026336,1311.31
1,104,2022,1,Budget,1356.69,0,10021145,1356.69
1,105,2022,1,Budget,1357.33,0,10016334,1357.33
1,107,2022,1,Budget,1407.16,0,10026861,1407.16
1,108,2022,1,Budget,1461.84,0,10016807,1461.84
1,109,2022,1,Budget,1463.42,0,10017553,1463.42
1,110,2022,1,Budget,1498.66,0,10022678,1498.66
1,111,2022,1,Budget,1569.77,0,10025249,1569.77
1,112,2022,1,Budget,1595.09,0,10010935,1595.09
1,113,2022,1,Budget,1693.1,0,10007566,1693.1
1,114,2022,1,Budget,1711.48,0,10021179,1711.48
1,115,2022,1,Budget,1733.53,0,10008134,1733.53
1,117,2022,1,Budget,1810.1,0,10025251,1810.1
1,118,2022,1,Budget,1860.67,0,10013472,1860.67
1,119,2022,1,Budget,1870.24,0,10018644,1870.24
1,120,2022,1,Budget,1888.71,0,10022750,1888.71
1,121,2022,1,Budget,2034.51,0,10009631,2034.51
1,123,2022,1,Budget,2194.55,0,10014739,2194.55
1,124,2022,1,Budget,2218.08,0,10022456,2218.08
1,125,2022,1,Budget,2323.06,0,10021222,2323.06
1,126,2022,1,Budget,2495.91,0,10013232,2495.91
1,128,2022,1,Budget,2518.81,0,10025552,2518.81
1,129,2022,1,Budget,2580.24,0,10022168,2580.24
1,130,2022,1,Budget,2728.95,0,10023447,2728.95
1,131,2022,1,Budget,2762.92,0,10021139,2762.92
1,132,2022,1,Budget,2874.65,0,10014803,2874.65
1,133,2022,1,Budget,2898.66,0,10019909,2898.66
1,134,2022,1,Budget,2918.16,0,10022490,2918.16
1,135,2022,1,Budget,3297.81,0,10010912,3297.81
1,136,2022,1,Budget,3362.87,0,10025036,3362.87
1,137,2022,1,Budget,3413.86,0,10025049,3413.86
1,140,2022,1,Budget,3566.22,0,10020915,3566.22
1,141,2022,1,Budget,3692.67,0,10022470,3692.67
1,142,2022,1,Budget,3698.12,0,10002489,3698.12
1,143,2022,1,Budget,4048.78,0,10026299,4048.78
1,145,2022,1,Budget,4236.05,0,10023778,4236.05
1,149,2022,1,Budget,4648.46,0,10025243,4648.46
1,152,2022,1,Budget,5043.39,0,10026606,5043.39
1,153,2022,1,Budget,5056.79,0,10018628,5056.79
1,154,2022,1,Budget,5214.81,0,10025560,5214.81
1,155,2022,1,Budget,5301.78,0,10009657,5301.78
1,156,2022,1,Budget,5317.27,0,10007355,5317.27
1,157,2022,1,Budget,5322.27,0,10023003,5322.27
1,158,2022,1,Budget,5336.56,0,10000472,5336.56
1,159,2022,1,Budget,5650.98,0,10020914,5650.98
1,160,2022,1,Budget,5745.12,0,10025051,5745.12
1,161,2022,1,Budget,5761.71,0,10015793,5761.71
1,163,2022,1,Budget,5976.16,0,10011734,5976.16
1,165,2022,1,Budget,6197.25,0,10024725,6197.25
1,168,2022,1,Budget,6322.82,0,10007564,6322.82
1,169,2022,1,Budget,6336.4,0,10018665,6336.4
1,170,2022,1,Budget,6401.94,0,10021936,6401.94
1,171,2022,1,Budget,6480.84,0,10014264,6480.84
1,172,2022,1,Budget,6575.06,0,10000478,6575.06
1,176,2022,1,Budget,7210.09,0,10009907,7210.09
1,177,2022,1,Budget,7421.23,0,10025033,7421.23
1,178,2022,1,Budget,7472.11,0,10022730,7472.11
1,179,2022,1,Budget,7506.59,0,10015824,7506.59
1,180,2022,1,Budget,7755.14,0,10006862,7755.14
1,181,2022,1,Budget,7776.27,0,10022450,7776.27
1,182,2022,1,Budget,7791.75,0,10024550,7791.75
1,183,2022,1,Budget,7827.74,0,10016858,7827.74
1,185,2022,1,Budget,8142.5,0,10023241,8142.5
1,186,2022,1,Budget,8424.72,0,10021470,8424.72
1,187,2022,1,Budget,8894.94,0,10010886,8894.94
1,188,2022,1,Budget,9000.89,0,10004302,9000.89
1,191,2022,1,Budget,9138.5,0,10017638,9138.5
1,193,2022,1,Budget,9568.77,0,10025252,9568.77
1,194,2022,1,Budget,9862.28,0,10025285,9862.28
1,195,2022,1,Budget,9914.25,0,10000460,9914.25
1,196,2022,1,Budget,10104.08,0,10021986,10104.08
1,198,2022,1,Budget,10870.14,0,10016549,10870.14
1,199,2022,1,Budget,11755.46,0,10021977,11755.46
1,200,2022,1,Budget,11778.58,0,10002244,11778.58
1,201,2022,1,Budget,12416.3,0,10024270,12416.3
1,202,2022,1,Budget,12483.28,0,10025495,12483.28
1,204,2022,1,Budget,12717.66,0,10007121,12717.66
1,205,2022,1,Budget,12929.25,0,10016548,12929.25
1,206,2022,1,Budget,12952.64,0,10025791,12952.64
1,207,2022,1,Budget,14310.86,0,10024260,14310.86
1,208,2022,1,Budget,14319.82,0,10015495,14319.82
