Division,Business Family,Customer Type,Channel,Category Code 5,Zone Mgr,Category Code 7,Regional Sales Mgr,Distribution Channel Mgr,Region Code,Price Discount Cde 4,Line of Business,Sales Volume,Customer,Address Number,Customer Number,Consolidated,Search Type,Phone,Business Unit,SIC Code,Tax Certificate
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Hetrick Systems,10015793,10015793,13366,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,LiveWire BBS and   Favourite Links,10019900,10019900,13367,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Brinco Ltd.,10007120,10007120,35150,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,FIBERWORKS,10011981,10011981,56900,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,DCS Laboratory,10009656,10009656,221,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Telus Corporation,10025248,10025248,311,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Tally Systems,10025033,10025033,346,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Earth,10010698,10010698,79380,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Filmotype,10012234,10012234,79420,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,DEAC,10009672,10009672,86974,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Sagent,10023513,10023513,89012,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Ubicco,10025305,10025305,89015,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,ValiCert,10025778,10025778,89044,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Caribian Specialties,10000455,10000455,89053,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Clearout,10009631,10009631,89084,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Benedict,10004256,10004256,89179,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Tao Group,10025049,10025049,93330,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Harvard Trust Company,10014495,10014495,93331,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Today,10025264,10025264,94390,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Zero-Knowledge Systems,10027381,10027381,504,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Signature,10024262,10024262,523,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Aaron Products,10000473,10000473,562,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,A2Z Solutions,10000466,10000466,27005,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Pacifico,10021222,10021222,591,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Towmotor Corporation,10025284,10025284,3355,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Pacific Sierra Research,10021184,10021184,5552,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Laker Airways,10019678,10019678,13362,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Robust Code,10023489,10023489,13363,C,816-455-8733,1,          ,                    
2,R3,G2,C7,   ,ZM5,N,S16,JL,1,   ,   ,   ,Dayton Malleable Inc.,10009647,10009647,13364,C,816-455-8733,1,          ,                    
