Item Branch 3rd Item Number,Item Branch G/L Category,Short Name,Item Branch 2nd Item Number,Item-Branch Key,Item Branch Reorder Quantity,Horsepower,Item Branch Category Code 6,Item Branch Category Code 7,Item Branch Primary Supplier
30147,TMTG,10977,30147,CR-10977,0,50,1030,      ,1
30147,TMTG,10977,30147,CR-10977,0,50,1030,      ,1
27569,SRCW,10734,27569,CR-10734,0,50,1015,      ,20726
27569,SRCW,10734,27569,CR-10734,0,50,1015,      ,20726
34783,ACCE,10311,34783,CR-10311,0,10,1035,      ,38247
34783,ACCE,10311,34783,CR-10311,0,10,1035,      ,38247
38815,AXLE,10813,38815,CR-10813,0,50,1010,      ,1
38815,AXLE,10813,38815,CR-10813,0,50,1010,      ,1
60505,AXLE,10180,60505,CR-10180,0,50,1010,      ,100111
60505,AXLE,10180,60505,CR-10180,0,50,1010,      ,100111
61692,THUB,10345,61692,CR-10345,0,50,1005,      ,1
61692,THUB,10345,61692,CR-10345,0,50,1005,      ,1
40552,MKTG,10950,40552,CR-10950,0,50,5020,      ,101484
40552,MKTG,10950,40552,CR-10950,0,50,5020,      ,101484
915416,MKTG,10029,915416,CR-10029,0,50,5020,      ,101622
915416,MKTG,10029,915416,CR-10029,0,50,5020,      ,101622
15663,SRCW,10295,15663,CR-10295,0,50,1015,      ,1
15663,SRCW,10295,15663,CR-10295,0,50,1015,      ,1
35338,AFAB,10393,35338,CR-10393,0,50,1050,      ,1
35338,AFAB,10393,35338,CR-10393,0,50,1050,      ,1
37978,TFAB,10656,37978,CR-10656,0,30,1025,      ,1
37978,TFAB,10656,37978,CR-10656,0,30,1025,      ,1
38816,AXLE,10814,38816,CR-10814,0,50,1010,      ,1
38816,AXLE,10814,38816,CR-10814,0,50,1010,      ,1
39927,SRCW,10018,39927,CR-10018,0,50,1015,      ,1
39927,SRCW,10018,39927,CR-10018,0,50,1015,      ,1
60924,TFAB,10229,60924,CR-10229,0,30,1025,      ,1
60924,TFAB,10229,60924,CR-10229,0,30,1025,      ,1
61693,THUB,10346,61693,CR-10346,0,50,1005,      ,1
61693,THUB,10346,61693,CR-10346,0,50,1005,      ,1
63058,TMTG,10588,63058,CR-10588,0,50,1030,      ,1
63058,TMTG,10588,63058,CR-10588,0,50,1030,      ,1
40627,MKTG,10951,40627,CR-10951,50000,50,5020,      ,38659
40627,MKTG,10951,40627,CR-10951,50000,50,5020,      ,38659
15665,SRCW,10296,15665,CR-10296,0,50,1015,      ,0
15665,SRCW,10296,15665,CR-10296,0,50,1015,      ,0
19742,TMTG,10378,19742,CR-10378,0,50,1030,      ,1
19742,TMTG,10378,19742,CR-10378,0,50,1030,      ,1
30680,TMTG,10030,30680,CR-10030,0,50,1030,      ,1
30680,TMTG,10030,30680,CR-10030,0,50,1030,      ,1
37979,TFAB,10657,37979,CR-10657,0,30,1025,      ,24433
37979,TFAB,10657,37979,CR-10657,0,30,1025,      ,24433
38820,AXLE,10815,38820,CR-10815,0,50,1010,      ,1
38820,AXLE,10815,38820,CR-10815,0,50,1010,      ,1
39594,TMTG,10965,39594,CR-10965,0,50,1030,      ,100111
39594,TMTG,10965,39594,CR-10965,0,50,1030,      ,100111
