Short Name,Item Count,Product Price Group,Product Department,Product Line,Product Group,Product Type,Master Planning Family,Product Sub Group
10977,10977,N,   ,1,7,26, ,3
10977,10977,N,   ,1,7,26, ,3
10977,10977,N,   ,1,7,26, ,3
10977,10977, ,1,1,7,26,G09,3
10977,10977, ,1,1,7,26,G09,3
10977,10977, ,1,1,7,26,G09,3
10734,10734,N,1,1,13,24,30,110
10734,10734,N,1,1,13,24,30,110
10734,10734,N,1,1,13,24,30,110
10734,10734,N,1,1,13,24,50,110
10734,10734,N,1,1,13,24,50,110
10734,10734,N,1,1,13,24,50,110
10734,10734,N,1,1,13,24,50,110
10734,10734,N,1,1,13,24,50,110
10734,10734,N,1,1,13,24,50,110
10311,10311,N,1,1,3,30,10,31
10311,10311,N,1,1,3,30,10,31
10311,10311,N,1,1,3,30,10,31
10311,10311,N,1,1,3,30,30,31
10311,10311,N,1,1,3,30,30,31
10311,10311,N,1,1,3,30,30,31
10311,10311, ,1,1,3,30,G14,31
10311,10311, ,1,1,3,30,G14,31
10311,10311, ,1,1,3,30,G14,31
10813,10813, ,1,1,19,47,G17,61
10813,10813, ,1,1,19,47,G17,61
10813,10813, ,1,1,19,47,G17,61
10813,10813, ,1,1,19,47,G03,61
10813,10813, ,1,1,19,47,G03,61
10813,10813, ,1,1,19,47,G03,61
10813,10813,1, ,1,19,47,0,61
10813,10813,1, ,1,19,47,0,61
10813,10813,1, ,1,19,47,0,61
10180,10180,N,1,1,19,47,30,61
10180,10180,N,1,1,19,47,30,61
10180,10180,N,1,1,19,47,30,61
10180,10180,N,1,1,19,47,50,61
10180,10180,N,1,1,19,47,50,61
10180,10180,N,1,1,19,47,50,61
10180,10180,0,0,1,19,47, ,61
10180,10180,0,0,1,19,47, ,61
10180,10180,0,0,1,19,47, ,61
10345,10345,   ,      ,1,6,9,P01,96
10345,10345,   ,      ,1,6,9,P01,96
10345,10345,   ,      ,1,6,9,P01,96
10345,10345,N, ,1,6,9,SRS,96
10345,10345,N, ,1,6,9,SRS,96
10345,10345,N, ,1,6,9,SRS,96
10345,10345, ,1,1,6,9,G17,96
10345,10345, ,1,1,6,9,G17,96
10345,10345, ,1,1,6,9,G17,96
10950,10950,   ,      ,1,5,5,   ,35
10950,10950,   ,      ,1,5,5,   ,35
10950,10950,   ,      ,1,5,5,   ,35
