NoOfItem,MaxNoOfItem,Item-Branch Key,Order Number,DateKey
2,3,CR-10799,200286,38189
1,3,CR-10731,200286,38189
3,3,CR-10731,200286,38189
5,8,CR-10035,205827,38165
7,8,CR-10400,205827,38165
3,8,CR-10887,205827,38165
8,8,CR-10397,205827,38165
6,8,CR-10797,205827,38165
1,8,CR-10484,205827,38165
4,8,CR-10345,205827,38165
2,8,CR-10369,205827,38165
1,1,CR-10385,210343,38248
6,22,CR-10799,215473,38309
19,22,CR-10898,215473,38309
14,22,CR-10392,215473,38309
12,22,CR-10065,215473,38309
2,22,CR-10347,215473,38309
15,22,CR-10066,215473,38309
7,22,CR-10068,215473,38309
8,22,CR-10925,215473,38309
4,22,CR-10872,215473,38309
16,22,CR-10680,215473,38309
10,22,CR-10642,215473,38309
1,22,CR-10101,215473,38309
5,22,CR-10010,215473,38309
17,22,CR-10927,215473,38309
21,22,CR-10529,215473,38309
22,22,CR-10935,215473,38309
9,22,CR-10412,215473,38309
18,22,CR-10880,215473,38309
11,22,CR-10414,215473,38309
13,22,CR-10394,215473,38309
20,22,CR-10893,215473,38309
3,22,CR-10870,215473,38309
4,5,CR-10716,211891,38263
2,5,CR-10046,211891,38273
3,5,CR-10992,211891,38273
5,5,CR-10395,211891,38263
1,5,CR-10970,211891,38273
1,2,CR-10384,200285,38189
2,2,CR-10731,200285,38189
13,26,CR-10504,213166,38287
12,26,CR-10197,213166,38287
3,26,CR-10385,213166,38280
16,26,CR-10385,213166,38301
23,26,CR-10554,213166,38308
2,26,CR-10065,213166,38280
22,26,CR-10521,213166,38287
21,26,CR-10889,213166,38280
25,26,CR-10576,213166,38280
14,26,CR-10813,213166,38280
26,26,CR-10887,213166,38308
6,26,CR-10644,213166,38280
18,26,CR-10218,213166,38280
19,26,CR-10654,213166,38280
4,26,CR-10187,213166,38280
8,26,CR-10949,213166,38308
9,26,CR-10252,213166,38287
15,26,CR-10383,213166,38287
10,26,CR-10633,213166,38280
11,26,CR-10850,213166,38301
7,26,CR-10529,213166,38280
1,26,CR-10250,213166,38280
17,26,CR-10570,213166,38280
5,26,CR-10530,213166,38280
24,26,CR-10948,213166,38280
20,26,CR-10184,213166,38280
15,19,CR-10973,200280,38203
7,19,CR-10251,200280,38203
11,19,CR-10568,200280,38203
1,19,CR-10576,200280,38203
16,19,CR-10390,200280,38203
12,19,CR-10828,200280,38203
17,19,CR-10413,200280,38203
2,19,CR-10218,200280,38203
3,19,CR-10259,200280,38203
4,19,CR-10101,200280,38203
6,19,CR-10869,200280,38203
14,19,CR-10567,200280,38203
9,19,CR-10508,200280,38203
10,19,CR-10391,200280,38203
13,19,CR-10288,200280,38203
18,19,CR-10388,200280,38203
5,19,CR-10901,200280,38203
8,19,CR-10577,200280,38203
19,19,CR-10912,200280,38203
1,1,CR-10670,200955,38106
1,1,CR-10423,213165,38280
6,15,CR-10251,200281,38199
13,15,CR-10251,200281,38199
15,15,CR-10568,200281,38199
10,15,CR-10611,200281,38199
14,15,CR-10828,200281,38199
4,15,CR-11000,200281,38199
11,15,CR-10413,200281,38199
5,15,CR-10218,200281,38199
8,15,CR-10259,200281,38199
2,15,CR-10206,200281,38199
1,15,CR-10567,200281,38199
3,15,CR-10288,200281,38199
9,15,CR-10394,200281,38199
7,15,CR-10944,200281,38199
12,15,CR-10577,200281,38199
6,6,CR-10697,200960,38120
2,6,CR-10506,200960,38120
3,6,CR-10671,200960,38120
1,6,CR-10670,200960,38120
5,6,CR-10504,200960,38122
4,6,CR-10086,200960,38122
33,40,CR-10038,206966,38186
37,40,CR-10197,206966,38186
6,40,CR-10683,206966,38186
39,40,CR-10196,206966,38186
1,40,CR-10099,206966,38186
12,40,CR-10037,206966,38186
3,40,CR-10078,206966,38186
20,40,CR-10347,206966,38186
16,40,CR-10066,206966,38186
35,40,CR-10919,206966,38186
21,40,CR-10856,206966,38186
8,40,CR-10569,206966,38186
30,40,CR-10327,206966,38186
15,40,CR-10532,206966,38205
24,40,CR-10400,206966,38186
7,40,CR-10644,206966,38197
34,40,CR-10254,206966,38186
18,40,CR-10925,206966,38186
25,40,CR-10933,206966,38186
26,40,CR-10680,206966,38197
5,40,CR-10649,206966,38186
13,40,CR-10832,206966,38203
19,40,CR-10315,206966,38186
31,40,CR-10397,206966,38186
2,40,CR-10408,206966,38186
14,40,CR-10869,206966,38186
27,40,CR-10522,206966,38197
10,40,CR-10927,206966,38186
11,40,CR-10204,206966,38186
22,40,CR-10876,206966,38186
36,40,CR-10796,206966,38186
4,40,CR-10986,206966,38186
38,40,CR-10290,206966,38186
17,40,CR-10414,206966,38186
28,40,CR-10171,206966,38186
23,40,CR-10883,206966,38186
9,40,CR-10891,206966,38186
40,40,CR-10399,206966,38186
29,40,CR-10407,206966,38186
32,40,CR-10820,206966,38186
14,20,CR-10999,200279,38199
1,20,CR-10576,200279,38199
19,20,CR-10613,200279,38199
18,20,CR-10612,200279,38199
20,20,CR-10326,200279,38199
12,20,CR-10362,200279,38199
15,20,CR-10413,200279,38199
10,20,CR-10218,200279,38199
8,20,CR-10259,200279,38199
9,20,CR-10296,200279,38199
7,20,CR-10911,200279,38199
6,20,CR-10567,200279,38199
16,20,CR-10877,200279,38199
2,20,CR-10288,200279,38199
4,20,CR-10651,200279,38199
13,20,CR-10678,200279,38199
5,20,CR-10679,200279,38199
11,20,CR-10577,200279,38199
3,20,CR-10912,200279,38199
17,20,CR-10328,200279,38199
2,2,CR-10258,208544,38212
1,2,CR-10959,208544,38212
5,8,CR-10856,210281,38252
4,8,CR-10377,210281,38252
6,8,CR-10588,210281,38238
3,8,CR-10649,210281,38238
8,8,CR-10110,210281,38238
1,8,CR-10329,210281,38238
2,8,CR-10529,210281,38238
7,8,CR-10578,210281,38246
1,1,CR-10943,210260,38247
3,6,CR-10684,211866,38266
4,6,CR-10946,211866,38280
5,6,CR-10940,211866,38280
6,6,CR-10945,211866,38266
1,6,CR-10681,211866,38266
2,6,CR-10412,211866,38266
11,12,CR-10506,200278,38199
7,12,CR-10973,200278,38199
8,12,CR-10251,200278,38199
4,12,CR-10258,200278,38199
6,12,CR-10594,200278,38199
1,12,CR-10588,200278,38199
10,12,CR-10413,200278,38199
2,12,CR-10218,200278,38199
12,12,CR-10288,200278,38199
9,12,CR-10171,200278,38199
5,12,CR-10577,200278,38199
3,12,CR-10913,200278,38199
4,4,CR-10068,215458,38309
1,4,CR-10680,215458,38309
3,4,CR-10204,215458,38309
2,4,CR-10412,215458,38309
8,15,CR-10973,200275,38204
12,15,CR-10251,200275,38204
15,15,CR-10413,200275,38204
5,15,CR-10495,200275,38204
13,15,CR-10218,200275,38204
6,15,CR-10259,200275,38204
7,15,CR-10508,200275,38204
11,15,CR-10589,200275,38204
2,15,CR-10204,200275,38204
1,15,CR-10288,200275,38204
4,15,CR-10290,200275,38204
10,15,CR-10902,200275,38204
14,15,CR-10651,200275,38204
3,15,CR-10171,200275,38204
9,15,CR-10524,200275,38204
4,4,CR-10507,200937,38150
1,4,CR-10489,200937,38116
3,4,CR-10635,200937,38116
2,4,CR-10982,200937,38150
1,2,CR-10570,205800,38165
2,2,CR-10519,205800,38165
2,33,CR-10504,206920,38190
27,33,CR-10415,206920,38190
23,33,CR-10683,206920,38190
25,33,CR-10554,206920,38190
10,33,CR-10196,206920,38190
28,33,CR-10065,206920,38190
13,33,CR-10834,206920,38218
11,33,CR-10411,206920,38190
20,33,CR-10924,206920,38190
32,33,CR-10558,206920,38190
12,33,CR-10943,206920,38190
14,33,CR-10943,206920,38218
16,33,CR-10211,206920,38190
17,33,CR-10106,206920,38190
15,33,CR-10832,206920,38211
9,33,CR-10383,206920,38211
1,33,CR-10100,206920,38190
33,33,CR-10500,206920,38225
24,33,CR-10589,206920,38190
19,33,CR-10967,206920,38204
4,33,CR-10176,206920,38190
29,33,CR-10501,206920,38211
8,33,CR-10818,206920,38190
22,33,CR-10861,206920,38287
7,33,CR-10201,206920,38204
3,33,CR-10901,206920,38190
18,33,CR-10414,206920,38190
6,33,CR-10323,206920,38225
31,33,CR-10944,206920,38287
26,33,CR-10845,206920,38190
21,33,CR-10899,206920,38190
5,33,CR-10961,206920,38190
30,33,CR-10819,206920,38190
10,23,CR-10037,200274,38206
21,23,CR-10037,200274,38206
12,23,CR-10084,200274,38206
8,23,CR-10576,200274,38206
13,23,CR-10222,200274,38206
15,23,CR-10520,200274,38206
1,23,CR-10808,200274,38206
9,23,CR-10390,200274,38206
14,23,CR-10413,200274,38206
17,23,CR-10218,200274,38206
22,23,CR-10218,200274,38206
6,23,CR-10259,200274,38206
16,23,CR-10101,200274,38206
18,23,CR-10639,200274,38206
3,23,CR-10567,200274,38206
7,23,CR-10391,200274,38206
11,23,CR-10204,200274,38206
23,23,CR-10235,200274,38206
5,23,CR-10288,200274,38206
4,23,CR-10807,200274,38206
2,23,CR-10386,200274,38206
20,23,CR-10939,200274,38206
19,23,CR-10312,200274,38206
20,24,CR-10505,206912,38191
4,24,CR-10279,206912,38191
15,24,CR-10554,206912,38191
24,24,CR-10898,206912,38191
