Order Number,Address Number Header,Order Gross Amount,Order Type Header,Business Unit Order Header,Order Date Header,Hold Orders Code Header,Company Number Header,Stop Code Header,Zone Code Header,Hold Code Header,Ship To Address Header,Parent Address Number Header,Orderby Header,Freight Code Header
200352,10016588,0,CO,CR,102221,  ,00001,   ,   ,  ,79950,79950,RETURNS,   
200410,10015793,0,CO,CR,102240,  ,00001,   ,   ,  ,101492,101552,          ,   
200706,10009907,0,CO,CR,102311,  ,00001,   ,   ,  ,100891,539,          ,   
200879,10018871,1181.7,SO,PC,102035,  ,00001,   ,   ,  ,100956,101557,          ,2
201126,10025919,71.18,SO,CR,102081,  ,00001,   ,   ,  ,100786,85030,          ,3
201330,10025025,74.93,SO,CR,102100,  ,00001,   ,   ,  ,100975,16450,          ,6
201545,10004302,447.52,SO,CR,102112,  ,00001,   ,   ,  ,46760,101560,          ,3
300352,10020663,0,CO,CR,103214,  ,00001,   ,   ,  ,79950,79950,RETURNS,   
301545,10008134,447.52,SO,CR,103105,  ,00001,   ,   ,  ,46760,101560,          ,3
305712,10025284,108.8,SO,CR,103171,  ,00001,   ,   ,  ,62860,62860,HERB,3
305118,10002746,858.74,SO,CR,103162,  ,00001,   ,   ,  ,601,601,SANDRA,2
304327,10010974,0,SO,CR,103149,  ,00001,DS,   ,  ,71700,71700,KEVIN,3
304525,10012422,12.11,SO,CR,103151,  ,00001,DS,   ,  ,123,123,          ,4
301750,10010974,0,SO,CR,103112,  ,00001,   ,   ,  ,71700,71700,          ,3
308827,10021418,85.16,SO,CR,103220,  ,00001,DS,   ,  ,101228,4157,          ,3
308436,10024022,0,SO,CR,103217,  ,00001,DS,   ,  ,101015,12020,HAROLD O.,3
305486,10017638,109.72,SO,CR,103168,  ,00001,DS,   ,  ,101264,101559,SALLY,4
303906,10019678,104.69,SO,CR,103142,  ,00001,   ,   ,  ,101417,72630,          ,4
305514,10010974,0,SO,CR,103169,  ,00001,   ,   ,  ,71700,71700,          ,3
305287,10000466,65.59,SO,CR,103163,  ,00001,DS,   ,  ,63850,63850,MARSHALL,4
306664,10019617,0,SO,CR,103189,  ,00001,   ,   ,  ,100783,101556,          ,3
303508,10023471,405,SO,PC,103135,  ,00001,   ,   ,  ,61620,61620,          ,2
304891,10010974,0,SO,CR,103156,  ,00001,   ,   ,  ,71700,71700,          ,6
306471,10010974,0,SO,CR,103185,  ,00001,DS,   ,  ,71700,71700,JERRY,3
301300,10019617,23.04,SO,CR,103087,  ,00001,   ,   ,  ,100947,18333,          ,4
313159,10010974,0,SO,CR,103283,  ,00001,   ,   ,  ,71700,71700,          ,3
301916,10021986,0,SO,CR,103113,  ,00001,   ,   ,  ,58192,101562,ANDY KNAKE,3
301728,10000472,5690.67,SO,CR,103108,  ,00001,   ,   ,  ,101525,59600,          ,3
312556,10009907,4922.78,SO,CR,103275,  ,00001,   ,   ,  ,93790,93790,          ,3
314445,10010974,0,SO,CR,103301,  ,00001,DS,   ,  ,71700,71700,MAIL,3
315135,10009156,195.85,SO,CR,103310,  ,00001,   ,   ,  ,101155,56490,BILL,4
302125,10019388,365.98,SO,CR,103115,  ,00001,   ,   ,  ,148,148,          ,   
313363,10027572,20.92,SO,CR,103287,  ,00001,DS,   ,  ,101475,1600,PURCHASING,4
314001,10010974,0,SO,CR,103295,  ,00001,DS,   ,  ,71700,71700,PHONE,3
305683,10010974,17.1,SO,CR,103170,  ,00001,   ,   ,  ,71700,71700,          ,4
311174,10009643,382.46,SO,CR,103255,  ,00001,   ,   ,  ,27448,27448,JOHN,4
314228,10010974,0,SO,CR,103297,  ,00001,   ,   ,  ,71700,71700,LENNY,3
309813,10025037,455.66,SO,CR,103234,  ,00001,DS,   ,  ,36000,36000,DONNA,4
