Sales by Customer by YearQuarter,Low,High
17416.32,"$5,000","$25,000"
0,"($99,000)",$1
118946.65,"$100,000","$250,000"
16513.51,"$5,000","$25,000"
6508.12,"$5,000","$25,000"
588051.45,"$500,000","$1,000,000"
37089.03,"$25,000","$100,000"
42362.36,"$25,000","$100,000"
135675.09,"$100,000","$250,000"
39885.18,"$25,000","$100,000"
57444.75,"$25,000","$100,000"
1696662.64,"$1,000,000","$9,999,999"
88038.86,"$25,000","$100,000"
214.4,$1,"$1,000"
4988.38,"$2,000","$5,000"
540679.26,"$500,000","$1,000,000"
64750.21,"$25,000","$100,000"
588302.03,"$500,000","$1,000,000"
40583.58,"$25,000","$100,000"
274.19,$1,"$1,000"
4085.63,"$2,000","$5,000"
37529.72,"$25,000","$100,000"
413609.19,"$250,000","$500,000"
97187.89,"$25,000","$100,000"
1906.9,"$1,000","$2,000"
126.91,$1,"$1,000"
325789.33,"$250,000","$500,000"
117068.89,"$100,000","$250,000"
24573.89,"$5,000","$25,000"
595206.91,"$500,000","$1,000,000"
35271.32,"$25,000","$100,000"
37840.12,"$25,000","$100,000"
109598.87,"$100,000","$250,000"
154157.95,"$100,000","$250,000"
63034.7,"$25,000","$100,000"
289186.6,"$250,000","$500,000"
4394.78,"$2,000","$5,000"
32129.96,"$25,000","$100,000"
1083.59,"$1,000","$2,000"
8837.51,"$5,000","$25,000"
309917.68,"$250,000","$500,000"
48600.62,"$25,000","$100,000"
101.44,$1,"$1,000"
61690.79,"$25,000","$100,000"
6002.62,"$5,000","$25,000"
96263.94,"$25,000","$100,000"
12624.66,"$5,000","$25,000"
63702.9,"$25,000","$100,000"
117841.42,"$100,000","$250,000"
55260.35,"$25,000","$100,000"
14834.43,"$5,000","$25,000"
15180.72,"$5,000","$25,000"
696949.03,"$500,000","$1,000,000"
12049.54,"$5,000","$25,000"
75753.86,"$25,000","$100,000"
95842.72,"$25,000","$100,000"
1613.41,"$1,000","$2,000"
29606.9,"$25,000","$100,000"
5.68,$1,"$1,000"
90685.49,"$25,000","$100,000"
58039.93,"$25,000","$100,000"
22891.03,"$5,000","$25,000"
71320.33,"$25,000","$100,000"
15435.39,"$5,000","$25,000"
8604.1,"$5,000","$25,000"
135201.91,"$100,000","$250,000"
2379.7,"$2,000","$5,000"
8872.6,"$5,000","$25,000"
16031.78,"$5,000","$25,000"
7044.88,"$5,000","$25,000"
91750.46,"$25,000","$100,000"
15202.3,"$5,000","$25,000"
1042.91,"$1,000","$2,000"
7757.37,"$5,000","$25,000"
73378.88,"$25,000","$100,000"
2506.08,"$2,000","$5,000"
43316.89,"$25,000","$100,000"
128932.3,"$100,000","$250,000"
28818.43,"$25,000","$100,000"
105176.24,"$100,000","$250,000"
140.37,$1,"$1,000"
7086.61,"$5,000","$25,000"
430.2,$1,"$1,000"
2438.16,"$2,000","$5,000"
79903.17,"$25,000","$100,000"
15454.98,"$5,000","$25,000"
-10430.99,"($99,000)",$1
27425.37,"$25,000","$100,000"
46230.59,"$25,000","$100,000"
7380.21,"$5,000","$25,000"
477760.45,"$250,000","$500,000"
4424.62,"$2,000","$5,000"
51179.9,"$25,000","$100,000"
638.04,$1,"$1,000"
44323.83,"$25,000","$100,000"
1630.92,"$1,000","$2,000"
102359.97,"$100,000","$250,000"
7212.86,"$5,000","$25,000"
9126.36,"$5,000","$25,000"
1665.06,"$1,000","$2,000"
115196.67,"$100,000","$250,000"
228.22,$1,"$1,000"
1610.7,"$1,000","$2,000"
77690.32,"$25,000","$100,000"
380.35,$1,"$1,000"
13102.2,"$5,000","$25,000"
66364.86,"$25,000","$100,000"
24884.78,"$5,000","$25,000"
4392.01,"$2,000","$5,000"
366.02,$1,"$1,000"
11270.92,"$5,000","$25,000"
201194.17,"$100,000","$250,000"
57455.88,"$25,000","$100,000"
69833.09,"$25,000","$100,000"
22581.18,"$5,000","$25,000"
667779.3,"$500,000","$1,000,000"
53642.39,"$25,000","$100,000"
142452.23,"$100,000","$250,000"
1191.45,"$1,000","$2,000"
23854.63,"$5,000","$25,000"
47668.16,"$25,000","$100,000"
487.38,$1,"$1,000"
4005.86,"$2,000","$5,000"
267.93,$1,"$1,000"
18252.05,"$5,000","$25,000"
55061.87,"$25,000","$100,000"
13988.36,"$5,000","$25,000"
222947.01,"$100,000","$250,000"
1636.11,"$1,000","$2,000"
142.54,$1,"$1,000"
2969.82,"$2,000","$5,000"
2207.91,"$2,000","$5,000"
44364.7,"$25,000","$100,000"
141429.77,"$100,000","$250,000"
77928.41,"$25,000","$100,000"
4301.63,"$2,000","$5,000"
7124.67,"$5,000","$25,000"
18091.74,"$5,000","$25,000"
15993.29,"$5,000","$25,000"
7683.28,"$5,000","$25,000"
84760.93,"$25,000","$100,000"
31025.64,"$25,000","$100,000"
44178.28,"$25,000","$100,000"
9952.18,"$5,000","$25,000"
12776.44,"$5,000","$25,000"
12332.13,"$5,000","$25,000"
2188.53,"$2,000","$5,000"
5954.02,"$5,000","$25,000"
44738.46,"$25,000","$100,000"
20858.29,"$5,000","$25,000"
7627.57,"$5,000","$25,000"
12286.49,"$5,000","$25,000"
27727.48,"$25,000","$100,000"
954903.81,"$500,000","$1,000,000"
31284.57,"$25,000","$100,000"
4900.86,"$2,000","$5,000"
24619.98,"$5,000","$25,000"
3379324.29,"$1,000,000","$9,999,999"
43765.12,"$25,000","$100,000"
16742.08,"$5,000","$25,000"
10392.38,"$5,000","$25,000"
8972.13,"$5,000","$25,000"
36438.37,"$25,000","$100,000"
25951.61,"$25,000","$100,000"
369.04,$1,"$1,000"
14530.05,"$5,000","$25,000"
28292.68,"$25,000","$100,000"
14371.62,"$5,000","$25,000"
8980.81,"$5,000","$25,000"
113277.83,"$100,000","$250,000"
1410.72,"$1,000","$2,000"
25955.38,"$25,000","$100,000"
3741.65,"$2,000","$5,000"
535.71,$1,"$1,000"
1915.5,"$1,000","$2,000"
215.82,$1,"$1,000"
1505.98,"$1,000","$2,000"
13396.26,"$5,000","$25,000"
4513.28,"$2,000","$5,000"
125.33,$1,"$1,000"
18461.66,"$5,000","$25,000"
87001.57,"$25,000","$100,000"
26553.41,"$25,000","$100,000"
43879.72,"$25,000","$100,000"
392.15,$1,"$1,000"
16347.73,"$5,000","$25,000"
1037.79,"$1,000","$2,000"
5183.05,"$5,000","$25,000"
13214.06,"$5,000","$25,000"
279.51,$1,"$1,000"
4340.3,"$2,000","$5,000"
16445.77,"$5,000","$25,000"
112121.18,"$100,000","$250,000"
3452.93,"$2,000","$5,000"
188966.36,"$100,000","$250,000"
378360.28,"$250,000","$500,000"
51692.79,"$25,000","$100,000"
1225.46,"$1,000","$2,000"
770.39,$1,"$1,000"
4913.82,"$2,000","$5,000"
27618.79,"$25,000","$100,000"
1149.96,"$1,000","$2,000"
1860.09,"$1,000","$2,000"
54699.68,"$25,000","$100,000"
7841.19,"$5,000","$25,000"
17755.26,"$5,000","$25,000"
2601.2,"$2,000","$5,000"
36287.2,"$25,000","$100,000"
2846.67,"$2,000","$5,000"
81933.68,"$25,000","$100,000"
9590.61,"$5,000","$25,000"
2799.34,"$2,000","$5,000"
2922.6,"$2,000","$5,000"
3797.01,"$2,000","$5,000"
5174,"$5,000","$25,000"
10990.45,"$5,000","$25,000"
3071.98,"$2,000","$5,000"
6992.62,"$5,000","$25,000"
3813.05,"$2,000","$5,000"
8162.92,"$5,000","$25,000"
9371.69,"$5,000","$25,000"
5891.45,"$5,000","$25,000"
432121.37,"$250,000","$500,000"
3665.85,"$2,000","$5,000"
17466.21,"$5,000","$25,000"
6597,"$5,000","$25,000"
647.67,$1,"$1,000"
958.73,$1,"$1,000"
5804.25,"$5,000","$25,000"
30505.1,"$25,000","$100,000"
30838.14,"$25,000","$100,000"
1041.93,"$1,000","$2,000"
11015.79,"$5,000","$25,000"
10696.56,"$5,000","$25,000"
1927.53,"$1,000","$2,000"
23436.08,"$5,000","$25,000"
227.11,$1,"$1,000"
2968.66,"$2,000","$5,000"
7150.59,"$5,000","$25,000"
8121.44,"$5,000","$25,000"
439.18,$1,"$1,000"
140,$1,"$1,000"
346.45,$1,"$1,000"
1072.81,"$1,000","$2,000"
164.01,$1,"$1,000"
1882.38,"$1,000","$2,000"
273.48,$1,"$1,000"
130.75,$1,"$1,000"
844.23,$1,"$1,000"
36.47,$1,"$1,000"
321.29,$1,"$1,000"
20911.31,"$5,000","$25,000"
107788.87,"$100,000","$250,000"
-1547.09,"($99,000)",$1
36.48,$1,"$1,000"
10839.14,"$5,000","$25,000"
775.92,$1,"$1,000"
198.04,$1,"$1,000"
774.99,$1,"$1,000"
2850.02,"$2,000","$5,000"
2493.26,"$2,000","$5,000"
45225.9,"$25,000","$100,000"
1343.62,"$1,000","$2,000"
694220,"$500,000","$1,000,000"
805.73,$1,"$1,000"
14834.18,"$5,000","$25,000"
17691.15,"$5,000","$25,000"
4713.93,"$2,000","$5,000"
5055.63,"$5,000","$25,000"
39532.37,"$25,000","$100,000"
1174.79,"$1,000","$2,000"
254,$1,"$1,000"
5844.85,"$5,000","$25,000"
2496.13,"$2,000","$5,000"
5645.27,"$5,000","$25,000"
93386.17,"$25,000","$100,000"
33046.06,"$25,000","$100,000"
4307.25,"$2,000","$5,000"
228.02,$1,"$1,000"
4514.46,"$2,000","$5,000"
139.17,$1,"$1,000"
1165.81,"$1,000","$2,000"
3392.35,"$2,000","$5,000"
3162.38,"$2,000","$5,000"
114.35,$1,"$1,000"
110.95,$1,"$1,000"
27.3,$1,"$1,000"
5127.8,"$5,000","$25,000"
885.43,$1,"$1,000"
3522.52,"$2,000","$5,000"
11632.35,"$5,000","$25,000"
110.17,$1,"$1,000"
6900.08,"$5,000","$25,000"
87.85,$1,"$1,000"
4913.36,"$2,000","$5,000"
18.31,$1,"$1,000"
78407.27,"$25,000","$100,000"
44135.84,"$25,000","$100,000"
707.19,$1,"$1,000"
7466.21,"$5,000","$25,000"
882.36,$1,"$1,000"
-366.78,"($99,000)",$1
180.73,$1,"$1,000"
129.08,$1,"$1,000"
5054.24,"$5,000","$25,000"
1193.01,"$1,000","$2,000"
3.42,$1,"$1,000"
650.17,$1,"$1,000"
337.28,$1,"$1,000"
1630.4,"$1,000","$2,000"
328.36,$1,"$1,000"
131.37,$1,"$1,000"
818.22,$1,"$1,000"
228.57,$1,"$1,000"
