Transaction Date,Customer,TransLineID,TransID,Num,Dim1,Dim2,Dim3,Expression1,Expression2,Expression3
14/02/2022,Customer 1,1,1,2,C,e,Y,25,2,0.19343
08/02/2022,Customer 1,1,2,3,B,d,Z,332,1,0.23770
23/03/2022,Customer 1,1,3,4,B,d,X,9,4,0.30043
10/01/2022,Customer 1,1,4,5,A,a,Z,8,0,0.00505
25/05/2022,Customer 1,2,4,5,A,b,X,82,1,0.12563
27/02/2022,Customer 1,1,5,6,C,f,Z,287,3,0.51898
13/01/2022,Customer 1,2,5,6,B,d,Z,187,0,0.52818
22/04/2022,Customer 1,3,5,6,C,e,Y,133,3,0.18939
07/02/2022,Customer 1,1,6,7,B,c,X,123,0,0.32872
02/01/2022,Customer 1,1,7,8,C,f,Z,323,0,0.12238
31/01/2022,Customer 1,2,7,8,C,e,X,35,0,0.36063
17/01/2022,Customer 1,1,8,9,C,e,X,530,5,0.41553
04/01/2022,Customer 1,1,9,10,A,b,X,181,0,0.12025
24/05/2022,Customer 1,2,9,10,B,d,Z,17,1,0.27225
13/03/2022,Customer 1,3,9,10,B,d,Z,72,0,0.43015
08/04/2022,Customer 1,1,10,11,B,c,X,175,1,0.09568
01/03/2022,Customer 1,2,10,11,C,e,Z,53,3,0.28397
13/04/2022,Customer 1,3,10,11,A,a,Z,24,0,0.02029
04/03/2022,Customer 1,4,10,11,A,a,Y,3,0,0.00879
17/01/2022,Customer 1,5,10,11,B,c,X,8,0,0.07085
31/03/2022,Customer 1,1,11,12,C,f,X,61,3,0.61738
09/02/2022,Customer 1,1,12,13,B,d,Z,473,0,0.62685
18/04/2022,Customer 1,1,13,14,A,a,X,10,0,0.11881
17/03/2022,Customer 1,1,14,15,C,e,X,131,1,0.16414
28/03/2022,Customer 1,2,14,15,A,b,Y,118,1,0.12339
12/05/2022,Customer 1,1,15,16,B,d,Y,106,1,0.02035
29/12/2021,Customer 1,2,15,16,B,d,X,293,4,0.21955
05/02/2022,Customer 1,3,15,16,B,c,Z,95,2,0.32150
04/04/2022,Customer 1,4,15,16,C,f,X,591,4,0.49225
22/03/2022,Customer 1,1,16,17,C,f,Z,825,5,0.38040
04/04/2022,Customer 1,1,17,18,A,b,Y,30,1,0.05788
28/03/2022,Customer 1,2,17,18,B,c,Y,29,1,0.14755
10/03/2022,Customer 1,1,18,19,B,c,X,224,1,0.34345
09/02/2022,Customer 1,2,18,19,B,c,Z,80,2,0.06588
03/02/2022,Customer 1,1,19,20,B,c,X,37,4,0.07898
28/02/2022,Customer 1,2,19,20,C,f,Y,189,0,0.36651
02/01/2022,Customer 1,1,20,21,C,e,Y,40,2,0.46256
11/05/2022,Customer 1,1,21,22,A,a,X,0,0,0.01161
04/04/2022,Customer 1,2,21,22,C,f,Z,171,7,0.64293
29/01/2022,Customer 1,1,22,23,A,b,X,1,0,0.05484
18/04/2022,Customer 1,2,22,23,B,d,Z,4,1,0.58664
10/01/2022,Customer 1,1,23,24,B,c,Z,17,1,0.38116
